number ,clean_text,airsentiment_line_x,Polarity,Analysis
0,dhepburn said,neutral,0,Neutral
1,plus added commercials experience tacky,positive,0,Neutral
2,not today must mean need take another trip,neutral,0,Neutral
3,really aggressive blast obnoxious entertainment guests faces amp little recourse,negative,-0.3306,Neutral
4,really big bad thing,negative,-0.5829,Negative
5,seriously would pay 30 flight seats not playing really bad thing flying va,negative,0.0963,Neutral
6,yes nearly every time fly vx ear worm go away,positive,0.4019,Neutral
7,really missed prime opportunity men without hats parody https co mwpg7grezp,neutral,0.1458,Neutral
8,virginamerica well not,positive,0.2732,Neutral
9,amazing arrived hour early good,positive,0.7717,Positive
10,know suicide second leading cause death among teens 10 24,neutral,-0.8555,Negative
11,lt 3 pretty graphics much better minimal iconography,positive,0.7269,Positive
12,great deal already thinking 2nd trip australia amp not even gone 1st trip yet p,positive,0.6249,Positive
13,virginmedia flying fabulous seductive skies u take stress away travel http co ahlxhhkiyn,positive,0.1531,Neutral
14,thanks,positive,0.4404,Neutral
15,sfo pdx schedule still mia,negative,-0.296,Neutral
16,excited first cross country flight lax mco heard nothing great things virgin america 29daystogo,positive,-0.2249,Neutral
17,flew nyc sfo last week could not fully sit seat due two large gentleman either side help,negative,0.4019,Neutral
18,flying,positive,0,Neutral
19,know would amazingly awesome bos fll please want fly,positive,0.7902,Positive
20,first fares may three times carriers seats available select,negative,0,Neutral
21,love graphic http co ut5grrwaaa,positive,0.6369,Positive
22,love hipster innovation feel good brand,positive,0.8658,Positive
23,making bos gt las non stop permanently anytime soon,neutral,-0.0258,Neutral
24,guys messed seating reserved seating friends guys gave seat away want free internet,negative,0.6486,Positive
25,status match program applied three weeks called emailed no response,negative,-0.296,Neutral
26,happened 2 ur vegan food options least say ur site know not able 2 eat anything next 6 hrs fail,negative,-0.5423,Negative
27,miss not worry together soon,neutral,0.2037,Neutral
28,amazing not get cold air vents vx358 noair worstflightever roasted sfotobos,negative,0.5859,Positive
29,lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral,-0.0516,Neutral
30,hi bked cool birthday trip not add elevate no cause entered middle name flight booking problems,negative,0.125,Neutral
31,hours operation club sfo posted online current,neutral,0,Neutral
32,help left expensive headphones flight 89 iad lax today seat 2a no one answering l amp f number lax,negative,0.5859,Positive
33,awaiting return phone call would prefer use online self service option,negative,0,Neutral
34,great news america could start flights hawaii end year http co r8p2zy3fe4 via pacificbiznews,positive,0.6249,Positive
35,nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co y7o0unxtqp,neutral,0.4215,Neutral
36,moodlighting way fly best experience ever cool calming moodlitmonday,positive,0.8481,Positive
37,freddieawards done done best airline around hands,positive,0.6369,Positive
38,book flight hawaii,neutral,0,Neutral
39,chat support not working site http co vhp2gtdwpk,negative,0.4019,Neutral
40,view downtown los angeles hollywood sign beyond rain mountains http co dw5nf0ibtr,positive,0,Neutral
41,hey first time flyer next week excited hard time getting flights added elevate account help,negative,0.5719,Positive
42,plz help win bid upgrade flight 2 27 lax gt sea,neutral,0.836,Positive
43,unused ticket moved new city not fly fly expires travelhelp,neutral,0,Neutral
44,flights leaving dallas seattle time feb 24,neutral,0,Neutral
45,elevategold good reason rock,positive,0.4404,Neutral
46,dream http co oa2drfaoq2 http co lwwdac2khx,neutral,0.25,Neutral
47,wow blew mind,positive,0.5859,Positive
48,ladygaga carrieunderwood last night tribute soundofmusic oscars2015 ladygaga think carrieunderwood agree,neutral,0.3612,Neutral
49,ladygaga carrieunderwood entertaining,neutral,0.4404,Neutral
50,flight 769 way supposed take 30 minutes ago website still shows time not flight thanks,neutral,-0.3412,Neutral
51,ladygaga carrieunderwood julie andrews way though ladygaga impressive no carrieunderwood,positive,0.2732,Neutral
52,wish flew atlanta soon,neutral,0.4019,Neutral
53,ladygaga carrieunderwood julie andrews hands,neutral,0,Neutral
54,flights leaving dallas la february 24th,neutral,0,Neutral
55,hi excited 99 lga gt dal deal trying 2 book since last week amp page never loads thx,negative,0.3378,Neutral
56,know need spotify stat guiltypleasures,positive,0,Neutral
57,ladygaga carrieunderwood lady gaga amazing,positive,0.5859,Positive
58,ladygaga carrieunderwood carrie,neutral,0,Neutral
59,new marketing song https co f2lfulcbq7 let us know think,neutral,0,Neutral
60,ladygaga carrieunderwood julie andrews first lady gaga wow would last night carrie meh,neutral,0.5423,Positive
61,called 3 4 weeks ago adding 3 flights 2014 elevate still not shown help,negative,-0.3089,Neutral
62,ladygaga carrieunderwood great go carrieunderwood,neutral,0.6249,Positive
63,ladygaga carrieunderwood sorry mary martin first,neutral,-0.0772,Neutral
